X,Y
Ga0.4Ba0.4Yb0.2F2.6,-10.70105315
Zr0.5Ba0.15Y0.1Na0.25F2.85,-10.76679679
Cd0.9Gd0.1F2.1,-10.7893899
Ag5Al3F14,-10.84567896
Cd0.9Pr0.1F2.1,-10.88113668
Sr0.701Gd0.299F2.299,-10.89814514
BaEr1.89Tm0.1Ho0.01F8,-10.90058714
Zr0.5Ba0.2Y0.1Na0.2F2.9,-10.96702343
Cd0.9La0.1F2.1,-11.0093899
Cd0.9Ce0.1F2.1,-11.0693899
Sr0.884Dy0.116F2.116,-11.2291903
Ca0.9Sb0.1F2.1,-11.25859566
K0.55Pb0.45Y0.55F3.1,-11.27952781
Cd0.9Nd0.1F2.1,-11.30676975
Zr0.5Ba0.1Y0.1Na0.3F2.8,-11.32042926
Cd0.97Er0.03F2.03,-11.49274805
Zr0.5Ba0.05Y0.1Na0.35F2.75,-11.53900835
Sr0.861Sm0.139F2.139,-11.848714
KCaF3,-11.9995272
Al0.4Ca0.22Y0.38F2.78,-12.20642754
Sr0.810Gd0.19F2.19,-12.2741174
Ba0.99Sc0.01F2.01,-12.30297977
BaMgF4,-12.34905859
Sr0.885Gd0.115F2.115,-12.82678548
Al0.4Ba0.4Yb0.2F2.6,-13.1435711
Sr0.87Tb0.13F2.13,-13.17483264
Sr0.907Yb0.093F2.093,-13.3033414
SrF2,-14.00177638
Sr0.894Ho0.106F2.106,-14.02489643
CaF2,-14.26629969
